UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Barack Obama,@BarackObama,2013-09-27T21:12:12.000Z,"Barack Obama
@BarackObama
·
Sep 27, 2013","Put your name on the 
@OFA
 donor wall with a $5 contribution & show the world where you stand. http://OFA.BO/fvbAQc
248
263
338",,248,263,338,['https://pbs.twimg.com/media/BVMtr9OCYAAh4Ac?format=png&name=small'],https://twitter.com/BarackObama/status/383700626439299073
Barack Obama,@BarackObama,2013-09-24T21:33:24.000Z,"Barack Obama
@BarackObama
·
Sep 24, 2013","""Go to http://healthcare.gov, take a look."" —President Obama on shopping for health care options that are a good fit for you. #CGI2013
159
468
232",,159,468,232,[],https://twitter.com/BarackObama/status/382618797980405760
Barack Obama,@BarackObama,2013-09-27T17:52:04.000Z,"Barack Obama
@BarackObama
·
Sep 27, 2013","It's time Congress puts an end to governing from one manufactured crisis to the next. Tell them #EnoughAlready: http://OFA.BO/Sn4x8V
316
602
288",,316,602,288,[],https://twitter.com/BarackObama/status/383650260205064192
Barack Obama,@BarackObama,2013-09-25T16:49:25.000Z,"Barack Obama
@BarackObama
·
Sep 25, 2013","95% of Americans live in states where average premiums in the new insurance marketplace will be lower than projected: http://OFA.BO/hYc2jb
323
593
265",,323,593,265,[],https://twitter.com/BarackObama/status/382909716684210176
Barack Obama,@BarackObama,2013-09-24T19:12:29.000Z,"Barack Obama
@BarackObama
·
Sep 24, 2013","Check out this map of uninsured Americans: http://OFA.BO/fLLphu This is why expanding access to quality, affordable care is so important.
185
373
193",,185,373,193,[],https://twitter.com/BarackObama/status/382583335223967744
Barack Obama,@BarackObama,2013-09-28T20:46:19.000Z,"Barack Obama
@BarackObama
·
Sep 28, 2013","Past shutdowns have disrupted the economy, and this one would be no different. Tell Congress to do its job: http://OFA.BO/7muoxo
361
726
326",,361,726,326,[],https://twitter.com/BarackObama/status/384056500429156353
Barack Obama,@BarackObama,2013-09-26T17:47:00.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","If you're sick and tired of Congress playing political games with Americans' health care, tell them #EnoughAlready: http://OFA.BO/uAaFSL
384
698
302",,384,698,302,[],https://twitter.com/BarackObama/status/383286595496845312
Barack Obama,@BarackObama,2013-09-26T22:06:00.000Z,"Barack Obama
@BarackObama
·
Sep 26, 2013","Get your very own ""I Take Action"" magnet here: http://OFA.BO/dVfmMW
319
245
207",,319,245,207,[],https://twitter.com/BarackObama/status/383351774934863872
Barack Obama,@BarackObama,2013-09-28T15:36:47.000Z,"Barack Obama
@BarackObama
·
Sep 28, 2013","Tuesday is also the day that a group of far-right Republicans in Congress might choose to shut down the government. http://OFA.BO/bnQ6Dh
261
458
213",,261,458,213,[],https://twitter.com/BarackObama/status/383978603974643712
Barack Obama,@BarackObama,2013-09-28T15:23:49.000Z,"Barack Obama
@BarackObama
·
Sep 28, 2013","Weekly address: Starting Tuesday, millions of Americans finally have a chance to buy quality, affordable health care. http://OFA.BO/TbdLX6
207
503
276",,207,503,276,[],https://twitter.com/BarackObama/status/383975337635229696
